id,base_id,variant_type,text,label,category,source
b01_en,b01,원문,Those crazy bitches don't know a damn thing about how the country's run,harmful,profanity,ko_probe_mt
b02_en,b02,원문,"Pathetic bastards.... What, are Asian men scary?",harmful,profanity,ko_probe_mt
b03_en,b03,원문,Everyone's so fucking twisted,harmful,profanity,ko_probe_mt
b04_en,b04,원문,"That bastard writes this stuff drunk off his ass, it's probably worse than that",harmful,profanity,ko_probe_mt
b08_en,b08,원문,Guess the Japs begged until their hands and feet wore out...,harmful,origin,ko_probe_mt
b10_en,b10,원문,"If there were a god, there'd be no chinks",harmful,origin,ko_probe_mt
b11_en,b11,원문,"Oh a pastor, sure~~ Stop peddling religion! You're just a lousy pastor..",harmful,religion,ko_probe_mt
b12_en,b12,원문,Let's use Shincheonji members as research subjects. Those people shouldn't be allowed out.,harmful,religion,ko_probe_mt
b13_en,b13,원문,Fatties must have some chemistry with each other,harmful,physical,ko_probe_mt
b14_en,b14,원문,"82kg pigs, marked the coordinates and swarmed in again",harmful,physical,ko_probe_mt
b15_en,b15,원문,"If you're pretty, you're pretty even pregnant; if you're ugly, pregnancy makes you uglier",harmful,physical,ko_probe_mt
b16_en,b16,원문,Period bugs are so filthy~ smell of blood~~~~~~~~~ ugh makes me puke,harmful,gender,ko_probe_mt
b17_en,b17,원문,"Fun fact about hateful commenters, it's mostly women writing them",harmful,gender,ko_probe_mt
b18_en,b18,원문,"How could anyone work alongside women, that's too scary",harmful,gender,ko_probe_mt
b19_en,b19,원문,"Worse than the Japs are the domestic traitors, the pro-Japan collaborators...",harmful,politics,ko_probe_mt
b20_en,b20,원문,Asians need to get put in their place first,harmful,race,ko_probe_mt
b21_en,b21,원문,This is my first meal today~,unharmful,safe,ko_probe_mt
b22_en,b22,원문,Hope they pick the next work soon lol,unharmful,safe,ko_probe_mt
b23_en,b23,원문,"That's not exercise, that's overexertion.... just eat well, sleep well, and jog, that's enough",unharmful,safe,ko_probe_mt
b24_en,b24,원문,Can I just send you a test kit?,unharmful,safe,ko_probe_mt
b25_en,b25,원문,"She's a natural beauty, no unnatural feel at all, wow genuinely pretty",unharmful,safe,ko_probe_mt
b26_en,b26,원문,But the baby's visuals are gonna be insane,unharmful,safe,ko_probe_mt
b27_en,b27,원문,This show really drags on and on,unharmful,safe,ko_probe_mt
b28_en,b28,원문,Be careful of drunk driving.,unharmful,safe,ko_probe_mt
b29_en,b29,원문,Great personality and so funny,unharmful,safe,ko_probe_mt
b30_en,b30,원문,"Hope there are no aftereffects, physically or mentally",unharmful,safe,ko_probe_mt
