id,base_id,variant_type,text,label,category,source
b01_원문,b01,원문,정신나간년들 나라 돌아가는건 1도 모르지,harmful,profanity,kmhas
b02_원문,b02,원문,찌질한 새끼들.... 왜? 동양 남자는 무섭냐?,harmful,profanity,kmhas
b03_원문,b03,원문,다들 존나 꼬였구나,harmful,profanity,kmhas
b04_원문,b04,원문,저샛기 술쳐먹고 써대는거보면 그이상일거다,harmful,profanity,kmhas
b05_원문,b05,원문,무식한 할배들의 안보팔이 식상타. 이젠 젊은이들이 살 세상이다,harmful,age,kmhas
b06_원문,b06,원문,틀딱 알바들 와이리많노 개웃기네ㅋ,harmful,age,kmhas
b07_원문,b07,원문,여기 틀딱들 천지구만,harmful,age,kmhas
b08_원문,b08,원문,일본놈들이 손발이 닳도록 빌었나 보네...,harmful,origin,kmhas
b09_원문,b09,원문,홍어들은 도와주지마라 도와줘도 배신한다 명심해야한다,harmful,origin,kmhas
b10_원문,b10,원문,신이 있었다면 짱깨는 없었다,harmful,origin,kmhas
b11_원문,b11,원문,목사 좋아하네~~ 종교팔이 하지마라 ! 개목사 주제에..,harmful,religion,kmhas
b12_원문,b12,원문,신천지 연구용으로 쓰자.쟤네는 나다니면 안됨,harmful,religion,kmhas
b13_원문,b13,원문,뚱보끼린 뭔가 잘맞는게 있나보네,harmful,physical,kmhas
b14_원문,b14,원문,82키로 돼지나들 또 좌표찍고 몰려왔구만,harmful,physical,kmhas
b15_원문,b15,원문,이쁘면 임신해도 이쁘고 못생기면 임신하면 더 못생김,harmful,physical,kmhas
b16_원문,b16,원문,생리충들 개더러워~피냄새~~~~~~~~~우엑 토나와,harmful,gender,kmhas
b17_원문,b17,원문,악플러들 특징 거의 여자들이 글씀,harmful,gender,kmhas
b18_원문,b18,원문,어디 무서워서 여자들이랑 직장생활같이하겠냐?,harmful,gender,kmhas
b19_원문,b19,원문,일본놈들보다 더 나쁜건 국내 매국노 친일파들...,harmful,politics,kmhas
b20_원문,b20,원문,동양인은 일단 좀 혼나자,harmful,race,kmhas
b21_원문,b21,원문,오늘 첫 끼여~,unharmful,safe,kmhas
b22_원문,b22,원문,다음 작품 빨리 골랐으면ㅎ,unharmful,safe,kmhas
b23_원문,b23,원문,운동이 아니라 혹사지....걍 밥잘먹고 잘자고 조깅만해도 된다.,unharmful,safe,kmhas
b24_원문,b24,원문,당신에게 진단키트 보내주면 되나요?,unharmful,safe,kmhas
b25_원문,b25,원문,자연미인이라 부자연스러운느낌없이 우아 찐으로 예쁘네,unharmful,safe,kmhas
b26_원문,b26,원문,근데 애기 비쥬얼은 쩔겠당,unharmful,safe,kmhas
b27_원문,b27,원문,이 프로는 참 징하게한다,unharmful,safe,kmhas
b28_원문,b28,원문,음주 운전 조심.,unharmful,safe,kmhas
b29_원문,b29,원문,성격 좋고 너무 웃김,unharmful,safe,kmhas
b30_원문,b30,원문,후유증이 없기를 몸도 마음도,unharmful,safe,kmhas
