model,dataset,n,mean_confidence_correct,mean_confidence_wrong,median_confidence_correct,median_confidence_wrong,pct_wrong_conf_ge_0.9
llamaguard,pgprompts_en,1699,0.9297,0.8175,0.989,0.867,0.4339
llamaguard,pgprompts_ko,1698,0.8995,0.8396,0.9579,0.8808,0.4641
llamaguard,multilingual_ar,60,0.826,0.8498,0.8858,0.887,0.4706
llamaguard,multilingual_es,60,0.9216,0.8298,0.983,0.8739,0.45
llamaguard,multilingual_hi,60,0.8385,0.8504,0.8808,0.9325,0.5217
llamaguard,multilingual_id,30,0.9096,0.8631,0.9797,0.9399,0.6667
llamaguard,multilingual_ru,60,0.8759,0.8814,0.9466,0.9098,0.5417
llamaguard,multilingual_th,60,0.8669,0.8799,0.9098,0.932,0.6
llamaguard,multilingual_vi,30,0.8949,0.9067,0.9784,0.9836,0.5833
polyguard,pgprompts_en,1699,0.985,0.9361,1.0,0.9924,0.7946
polyguard,pgprompts_ko,1699,0.964,0.8886,0.9987,0.9526,0.6398
polyguard,multilingual_ar,60,0.9397,0.8329,0.9819,0.8701,0.5
polyguard,multilingual_es,60,0.9706,0.8402,0.9998,0.8933,0.4667
polyguard,multilingual_hi,60,0.8881,0.7904,0.9452,0.8438,0.4091
polyguard,multilingual_id,30,0.8329,0.8127,0.8739,0.7982,0.3571
polyguard,multilingual_ru,60,0.9622,0.9216,0.9963,0.9532,0.6429
polyguard,multilingual_th,60,0.9195,0.8647,0.9784,0.9223,0.5833
polyguard,multilingual_vi,30,0.8753,0.7203,0.974,0.7058,0.2
sguard,pgprompts_en,1699,0.9818,0.8985,0.9997,0.9748,0.6852
sguard,pgprompts_ko,1699,0.9445,0.8471,0.9937,0.9047,0.509
sguard,multilingual_ar,60,0.8835,0.8564,0.9348,0.9944,0.6667
sguard,multilingual_es,60,0.956,0.8016,0.9958,0.8432,0.5
sguard,multilingual_hi,60,0.9089,0.8577,0.9627,0.8933,0.4615
sguard,multilingual_id,30,0.899,0.8741,0.9716,0.9434,0.7
sguard,multilingual_ru,60,0.9454,0.8412,0.9859,0.8991,0.4444
sguard,multilingual_th,60,0.8977,0.8408,0.9399,0.9707,0.6316
sguard,multilingual_vi,30,0.9251,0.9692,0.9919,0.9907,0.9
