model,dataset,threshold,coverage,n,precision,recall,f1
llamaguard,pgprompts_en,0.5,1.0,1699,0.8243,0.6844,0.7478
llamaguard,pgprompts_en,0.6,0.937,1592,0.8471,0.7043,0.7691
llamaguard,pgprompts_en,0.7,0.8799,1495,0.8617,0.7192,0.784
llamaguard,pgprompts_en,0.8,0.7981,1356,0.8935,0.7469,0.8137
llamaguard,pgprompts_en,0.9,0.7022,1193,0.9062,0.771,0.8331
llamaguard,pgprompts_en,0.95,0.621,1055,0.918,0.8038,0.8571
llamaguard,pgprompts_ko,0.5,1.0,1698,0.7698,0.4523,0.5698
llamaguard,pgprompts_ko,0.6,0.9352,1588,0.7833,0.4569,0.5771
llamaguard,pgprompts_ko,0.7,0.8675,1473,0.8045,0.4494,0.5766
llamaguard,pgprompts_ko,0.8,0.7574,1286,0.8369,0.4495,0.5849
llamaguard,pgprompts_ko,0.9,0.6137,1042,0.8744,0.47,0.6114
llamaguard,pgprompts_ko,0.95,0.4711,800,0.9097,0.4862,0.6337
llamaguard,multilingual_ar,0.5,1.0,60,0.6667,0.3,0.4138
llamaguard,multilingual_ar,0.6,0.85,51,0.6429,0.2571,0.3673
llamaguard,multilingual_ar,0.7,0.7667,46,0.6364,0.2258,0.3333
llamaguard,multilingual_ar,0.8,0.6167,37,0.7143,0.2,0.3125
llamaguard,multilingual_ar,0.9,0.4833,29,0.8333,0.25,0.3846
llamaguard,multilingual_ar,0.95,0.45,27,0.8,0.2222,0.3478
llamaguard,multilingual_es,0.5,1.0,60,0.9167,0.55,0.6875
llamaguard,multilingual_es,0.6,0.8833,53,0.9167,0.6286,0.7458
llamaguard,multilingual_es,0.7,0.85,51,0.9167,0.6286,0.7458
llamaguard,multilingual_es,0.8,0.8167,49,1.0,0.6286,0.7719
llamaguard,multilingual_es,0.9,0.6167,37,1.0,0.6538,0.7907
llamaguard,multilingual_es,0.95,0.5167,31,1.0,0.6667,0.8
llamaguard,multilingual_hi,0.5,1.0,60,0.9048,0.475,0.623
llamaguard,multilingual_hi,0.6,0.9,54,0.8824,0.4286,0.5769
llamaguard,multilingual_hi,0.7,0.7833,47,1.0,0.4688,0.6383
llamaguard,multilingual_hi,0.8,0.6167,37,1.0,0.4167,0.5882
llamaguard,multilingual_hi,0.9,0.4833,29,1.0,0.4,0.5714
llamaguard,multilingual_hi,0.95,0.4,24,1.0,0.4706,0.64
llamaguard,multilingual_id,0.5,1.0,30,1.0,0.25,0.4
llamaguard,multilingual_id,0.6,0.9,27,1.0,0.2778,0.4348
llamaguard,multilingual_id,0.7,0.8667,26,1.0,0.2941,0.4545
