model,lang,variant_type,flip_rate,n
llamaguard,ko,code-switching,0.1,30
llamaguard,ko,띄어쓰기,0.0667,30
llamaguard,ko,번역투,0.1,30
llamaguard,ko,우회표기,0.0667,30
llamaguard,en,code-switching,0.1154,26
llamaguard,en,띄어쓰기,0.0385,26
llamaguard,en,번역투,0.0385,26
llamaguard,en,우회표기,0.1154,26
polyguard,ko,code-switching,0.1333,30
polyguard,ko,띄어쓰기,0.1,30
polyguard,ko,번역투,0.2667,30
polyguard,ko,우회표기,0.2333,30
polyguard,en,code-switching,0.1538,26
polyguard,en,띄어쓰기,0.0769,26
polyguard,en,번역투,0.1154,26
polyguard,en,우회표기,0.1923,26
sguard,ko,code-switching,0.1667,30
sguard,ko,띄어쓰기,0.0333,30
sguard,ko,번역투,0.2333,30
sguard,ko,우회표기,0.2,30
sguard,en,code-switching,0.2692,26
sguard,en,띄어쓰기,0.1538,26
sguard,en,번역투,0.0385,26
sguard,en,우회표기,0.0769,26
