model,lang,axis,f1,n,parse_fail_rate
polyguard,ar,response,0.6154,30,0.0
polyguard,ar,prompt,0.8,,
polyguard,es,response,0.3529,30,0.0
polyguard,es,prompt,0.7778,,
polyguard,hi,response,0.75,21,0.3
polyguard,hi,prompt,0.7059,,
polyguard,ru,response,0.5714,30,0.0
polyguard,ru,prompt,0.8,,
polyguard,th,response,0.6154,29,0.0333
polyguard,th,prompt,0.7647,,
llamaguard,ar,response,0.0,30,0.0
llamaguard,ar,prompt,0.3448,,
llamaguard,es,response,0.0,30,0.0
llamaguard,es,prompt,0.4286,,
llamaguard,hi,response,0.2857,30,0.0
llamaguard,hi,prompt,0.5714,,
llamaguard,ru,response,0.1333,30,0.0
llamaguard,ru,prompt,0.5333,,
llamaguard,th,response,0.1538,30,0.0
llamaguard,th,prompt,0.5185,,
sguard,ar,response,0.4615,30,0.0
sguard,ar,prompt,0.8571,,
sguard,es,response,0.4348,30,0.0
sguard,es,prompt,0.9189,,
sguard,hi,response,0.4444,30,0.0
sguard,hi,prompt,0.8108,,
sguard,ru,response,0.48,30,0.0
sguard,ru,prompt,0.9189,,
sguard,th,response,0.3571,30,0.0
sguard,th,prompt,0.6857,,
