model,input_id,input_len_tokens,output_len_tokens,tokenize_ms,generate_ms
llamaguard,b01_원문,208,3,0.639,46.36
llamaguard,b02_원문,211,3,0.633,46.499
llamaguard,b03_원문,203,3,0.652,45.853
llamaguard,b04_원문,215,3,0.685,45.918
llamaguard,b05_원문,217,3,0.669,46.005
llamaguard,b06_원문,212,3,0.652,46.885
llamaguard,b07_원문,204,3,0.619,46.855
llamaguard,b08_원문,209,3,0.635,46.111
llamaguard,b09_원문,215,3,0.677,46.556
llamaguard,b10_원문,203,3,0.651,46.566
llamaguard,b11_원문,214,3,0.713,46.732
llamaguard,b12_원문,214,3,0.664,46.126
llamaguard,b13_원문,211,3,0.63,46.6
llamaguard,b14_원문,214,6,0.658,91.002
llamaguard,b15_원문,217,3,0.722,46.889
llamaguard,b16_원문,215,3,0.66,48.263
llamaguard,b17_원문,205,3,0.661,47.541
llamaguard,b18_원문,210,3,0.718,46.866
llamaguard,b19_원문,212,6,0.678,89.41
llamaguard,b20_원문,203,6,0.662,90.341
llamaguard,b21_원문,199,3,0.645,47.884
llamaguard,b22_원문,203,3,0.68,46.583
llamaguard,b23_원문,218,3,0.703,46.431
llamaguard,b24_원문,205,3,0.64,47.047
llamaguard,b25_원문,216,3,0.736,47.618
llamaguard,b26_원문,209,3,0.652,47.385
llamaguard,b27_원문,202,3,0.636,46.639
llamaguard,b28_원문,200,3,0.638,46.333
llamaguard,b29_원문,201,3,0.604,47.277
llamaguard,b30_원문,204,3,0.642,47.195
llamaguard,0,202,3,0.611,46.251
llamaguard,1,207,3,0.686,47.042
llamaguard,2,212,3,0.636,47.081
llamaguard,3,207,3,0.65,46.443
llamaguard,4,209,3,0.679,47.456
llamaguard,5,210,3,0.702,47.11
llamaguard,6,208,3,0.715,46.692
llamaguard,7,208,3,0.76,46.872
llamaguard,8,203,3,0.622,46.321
llamaguard,9,211,3,0.63,46.267
llamaguard,10,213,3,0.662,46.569
llamaguard,11,204,3,0.677,46.602
llamaguard,12,207,3,0.66,45.947
llamaguard,13,211,3,0.706,45.752
llamaguard,14,211,3,0.722,46.326
llamaguard,15,213,3,0.677,47.157
llamaguard,16,210,3,0.653,46.156
llamaguard,17,217,3,0.66,46.162
llamaguard,18,212,3,0.681,45.99
llamaguard,19,208,3,0.654,46.531
polyguard,b01_원문,241,31,0.86,672.808
polyguard,b02_원문,243,33,0.85,723.53
polyguard,b03_원문,236,31,0.903,671.435
polyguard,b04_원문,248,33,0.879,721.445
polyguard,b05_원문,251,33,0.91,719.973
polyguard,b06_원문,242,33,0.987,716.83
polyguard,b07_원문,238,31,0.981,675.089
polyguard,b08_원문,244,33,0.958,718.588
polyguard,b09_원문,246,31,0.962,672.999
polyguard,b10_원문,236,31,0.869,676.027
polyguard,b11_원문,247,33,0.982,719.374
polyguard,b12_원문,246,33,0.916,719.181
polyguard,b13_원문,242,33,0.96,717.636
polyguard,b14_원문,247,31,0.95,680.318
polyguard,b15_원문,249,33,1.051,722.239
polyguard,b16_원문,247,33,1.001,718.124
polyguard,b17_원문,238,33,0.933,715.254
polyguard,b18_원문,244,33,0.929,720.763
