item,model,language,variant,metric,value,n,source_path
D1,llamaguard,ar,base,f1,0.345,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ar,base,precision,0.556,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ar,base,recall,0.25,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ar,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ar,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ar,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,es,base,f1,0.429,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,es,base,precision,0.75,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,es,base,recall,0.3,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,es,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,es,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,es,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,hi,base,f1,0.571,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,hi,base,precision,1.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,hi,base,recall,0.4,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,hi,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,hi,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,hi,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ru,base,f1,0.533,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ru,base,precision,0.8,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ru,base,recall,0.4,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ru,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ru,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,ru,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,th,base,f1,0.519,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,th,base,precision,1.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,th,base,recall,0.35,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,th,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,th,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,llamaguard,th,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ar,base,f1,0.483,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ar,base,precision,0.778,30,results/multilingual_llamaguard.csv (commit 34a8787)
