item,model,language,variant,metric,value,n,source_path
D4,llamaguard,ar,code-switching,flip_rate,0.1667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ar,spacing,flip_rate,0.4,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ar,translationese,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ar,obfuscated,flip_rate,0.3667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,es,code-switching,flip_rate,0.0667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,es,spacing,flip_rate,0.6,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,es,translationese,flip_rate,0.0333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,es,obfuscated,flip_rate,0.6667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,hi,code-switching,flip_rate,0.3333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,hi,spacing,flip_rate,0.4333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,hi,translationese,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,hi,obfuscated,flip_rate,0.5333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,id,code-switching,flip_rate,0.1667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,id,spacing,flip_rate,0.2667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,id,translationese,flip_rate,0.1,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,id,obfuscated,flip_rate,0.7,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ru,code-switching,flip_rate,0.0667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ru,spacing,flip_rate,0.3,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ru,translationese,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,ru,obfuscated,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,th,code-switching,flip_rate,0.0333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
